"Country_iso","Country","Industry_specific","Year","GVA_total_lcu","Currency_iso","Country_short","Industry_simple","GDP_annual_lcu","Exch_rate","GVA_annual_usd","GDP_annual_usd","GVA_perc_GDP_usd","GVA_perc_GDP_lcu","GVA_change_relative","GVA_change_rel_mean","GVA_mean_usd","GVA_mean_lcu","GVA_perc_GDP_usd_mean","GVA_perc_GDP_lcu_mean","national_industry_gva_usd","GDP_mean_usd","GDP_mean_lcu","industry_total_gva_usd","industry_annual_gva_sum_usd","industry_annual_gva_mean_usd","n_country"
"AUS","Australia","Forestry and fishing",2020,8.014e+09,"AUD","AUS","Fishing",2.191416e+12,1.453085,5515162567.91585,1508112739447.45,0.365699620701866,0.365699620701866,NA,4.27108565020898,5780597853.32165,8.14e+09,0.361017075474399,0.361017075474399,17341793559.9649,1603805552541.76,2228543250000,243569231130.509,61177587088.7189,1747931059.67768,35
"AUS","Australia","Forestry and fishing",2021,7.763e+09,"AUD","AUS","Fishing",2.237695e+12,1.331224,5831475394.07342,1680930482022.56,0.346919486346441,0.346919486346441,5.73533095828777,4.27108565020898,5780597853.32165,8.14e+09,0.361017075474399,0.361017075474399,17341793559.9649,1603805552541.76,2228543250000,243569231130.509,61816734035.4948,2377566693.67288,26
"AUS","Australia","Forestry and fishing",2022,8.643e+09,"AUD","AUS","Fishing",2.333221e+12,1.441664,5995155597.97567,1618422184364.73,0.37043211937489,0.37043211937489,2.80684034213019,4.27108565020898,5780597853.32165,8.14e+09,0.361017075474399,0.361017075474399,17341793559.9649,1603805552541.76,2228543250000,243569231130.509,27763803959.5156,2135677227.65505,13
"AUS","Australia","Mining and quarrying",2018,1.91864e+11,"AUD","AUS","Mining",2.151841e+12,1.338412,143351972337.367,1607756804332.3,8.91627215951364,8.91627215951364,NA,NA,143351972337.367,1.91864e+11,8.91627215951364,8.91627215951364,143351972337.367,1603805552541.76,2228543250000,2583524074697.47,217463225233.476,19769384112.1342,11
"AUT","Austria","Fishing and aquaculture",2019,33850000,"EUR","AUT","Fishing",373091240000,0.893276,37894223.0620771,417666253207.295,0.00907284770341968,0.00907284770341968,NA,3.591403036982,38574690.2010232,33520000,0.00910670845334282,0.00910670845334282,77149380.4020464,423563503164.569,368098865000,243569231130.509,52005149321.203,2000198050.8155,26
"AUT","Austria","Fishing and aquaculture",2021,33190000,"EUR","AUT","Fishing",363106490000,0.845494,39255157.3399693,429460753121.844,0.00914056920326596,0.00914056920326596,3.591403036982,3.591403036982,38574690.2010232,33520000,0.00910670845334282,0.00910670845334282,77149380.4020464,423563503164.569,368098865000,243569231130.509,61816734035.4948,2377566693.67288,26
"BEL","Belgium","Fishing and aquaculture",2018,47400000,"EUR","BEL","Fishing",436502400000,0.846773,55977221.7583697,515489275165.835,0.0108590468231103,0.0108590468231103,NA,-9.19922729482508,53402485.8269294,45950000,0.0106919879431355,0.0106919879431355,106804971.653859,510915226979.475,437026733333.333,243569231130.509,40805956725.5762,1457355597.34201,28
"BEL","Belgium","Fishing and aquaculture",2020,44500000,"EUR","BEL","Fishing",422805700000,0.875506,50827749.895489,482927244359.262,0.0105249290631607,0.0105249290631607,-9.19922729482508,-9.19922729482508,53402485.8269294,45950000,0.0106919879431355,0.0106919879431355,106804971.653859,510915226979.475,437026733333.333,243569231130.509,61177587088.7189,1747931059.67768,35
"BEL","Belgium","Mining and quarrying",2021,305400000,"EUR","BEL","Mining",451772100000,0.845494,361208950.033945,534329161413.328,0.0676004560706604,0.0676004560706604,NA,NA,361208950.033945,305400000,0.0676004560706604,0.0676004560706604,361208950.033945,510915226979.475,437026733333.333,2583524074697.47,641603379258.885,33768598908.3624,19
"BLZ","Belize","Fishing and aquaculture",2019,24100000,"BZD","Belize","Fishing",4537117813.50779,2,12050000,2268558906.75389,0.531174216553295,0.531174216553295,NA,-1.75663085874095,10987500,21975000,0.487283982667114,0.487283982667114,43950000,2260080497.40723,4520160994.81447,243569231130.509,52005149321.203,2000198050.8155,26
"BLZ","Belize","Fishing and aquaculture",2020,18300000,"BZD","Belize","Fishing",3914094811.27876,2,9150000,1957047405.63938,0.46754105054551,0.46754105054551,-24.0663900414938,-1.75663085874095,10987500,21975000,0.487283982667114,0.487283982667114,43950000,2260080497.40723,4520160994.81447,243569231130.509,61177587088.7189,1747931059.67768,35
"BLZ","Belize","Fishing and aquaculture",2021,24900000,"BZD","Belize","Fishing",4613247955.32708,2,12450000,2306623977.66354,0.539749873432385,0.539749873432385,36.0655737704918,-1.75663085874095,10987500,21975000,0.487283982667114,0.487283982667114,43950000,2260080497.40723,4520160994.81447,243569231130.509,61816734035.4948,2377566693.67288,26
"BLZ","Belize","Fishing and aquaculture",2022,20600000,"BZD","Belize","Fishing",5016183399.14424,2,10300000,2508091699.57212,0.410670790137266,0.410670790137266,-17.2690763052209,-1.75663085874095,10987500,21975000,0.487283982667114,0.487283982667114,43950000,2260080497.40723,4520160994.81447,243569231130.509,27763803959.5156,2135677227.65505,13
"BLZ","Belize","Mining and quarrying",2019,61600000,"BZD","Belize","Mining",4537117813.50779,2,30800000,2268558906.75389,1.35769011367979,1.35769011367979,NA,10.6927952473685,27287500,54575000,1.19632987666892,1.19632987666892,109150000,2260080497.40723,4520160994.81447,2583524074697.47,731003554610.723,34809693076.7011,21
"BLZ","Belize","Mining and quarrying",2020,34600000,"BZD","Belize","Mining",3914094811.27876,2,17300000,1957047405.63938,0.88398471851774,0.88398471851774,-43.8311688311688,10.6927952473685,27287500,54575000,1.19632987666892,1.19632987666892,109150000,2260080497.40723,4520160994.81447,2583524074697.47,522585757885.558,27504513572.9241,19
"BLZ","Belize","Mining and quarrying",2021,62900000,"BZD","Belize","Mining",4613247955.32708,2,31450000,2306623977.66354,1.36346453971474,1.36346453971474,81.7919075144509,10.6927952473685,27287500,54575000,1.19632987666892,1.19632987666892,109150000,2260080497.40723,4520160994.81447,2583524074697.47,641603379258.885,33768598908.3624,19
"BLZ","Belize","Mining and quarrying",2022,59200000,"BZD","Belize","Mining",5016183399.14424,2,29600000,2508091699.57212,1.1801801347634,1.1801801347634,-5.88235294117647,10.6927952473685,27287500,54575000,1.19632987666892,1.19632987666892,109150000,2260080497.40723,4520160994.81447,2583524074697.47,470868157708.832,29429259856.802,16
"BGR","Bulgaria","Fishing and aquaculture",2018,25830000,"BGN","BGR","Fishing",97371599000,1.657042,15588017.6845246,58762299929.6337,0.0265272423019365,0.0265272423019365,NA,55.2464836754884,19893933.5072312,33682500,0.0346111369991153,0.0346111369991153,39787867.0144623,58659360077.6564,101137303000,243569231130.509,40805956725.5762,1457355597.34201,28
"BGR","Bulgaria","Fishing and aquaculture",2020,41535000,"BGN","BGR","Fishing",97282982000,1.716333,24199849.3299377,56680715222.5122,0.042695031696294,0.042695031696294,55.2464836754884,55.2464836754884,19893933.5072312,33682500,0.0346111369991153,0.0346111369991153,39787867.0144623,58659360077.6564,101137303000,243569231130.509,61177587088.7189,1747931059.67768,35
"BGR","Bulgaria","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2019,1.9178e+10,"BGN","BGR","Mining",101300727000,1.747042,10977412105.7193,57984139476.8987,18.9317496211059,18.9317496211059,NA,0.681955726544661,10817277489.2604,18877250000,18.3096768169246,18.3096768169246,43269109957.0414,58659360077.6564,101137303000,2583524074697.47,731003554610.723,34809693076.7011,21
"BGR","Bulgaria","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2020,1.7357e+10,"BGN","BGR","Mining",97282982000,1.716333,10112839408.2034,56680715222.5122,17.841763937705,17.841763937705,-7.87592457301847,0.681955726544661,10817277489.2604,18877250000,18.3096768169246,18.3096768169246,43269109957.0414,58659360077.6564,101137303000,2583524074697.47,522585757885.558,27504513572.9241,19
"BGR","Bulgaria","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2021,1.8286e+10,"BGN","BGR","Mining",104736559000,1.653775,11057126876.3889,63331806926.5771,17.4590421669286,17.4590421669286,9.33751076299555,0.681955726544661,10817277489.2604,18877250000,18.3096768169246,18.3096768169246,43269109957.0414,58659360077.6564,101137303000,2583524074697.47,641603379258.885,33768598908.3624,19
"BGR","Bulgaria","Mining and quarrying; manufacturing; electricity, gas, steam and air conditioning supply; water supply; sewerage, waste management and remediation activities",2022,2.0688e+10,"BGN","BGR","Mining",108848969000,1.860142,11121731566.7299,58516483687.8045,19.006151541959,19.006151541959,0.584280989656904,0.681955726544661,10817277489.2604,18877250000,18.3096768169246,18.3096768169246,43269109957.0414,58659360077.6564,101137303000,2583524074697.47,470868157708.832,29429259856.802,16
"CAN","Canada","Fishing and aquaculture",2018,2.299e+09,"CAD","Canada","Fishing",2128965328000,1.295818,1774168903.34908,1642950883534.57,0.107986728095743,0.107986728095743,NA,-36.5815020784864,1449660086.22183,1.904e+09,0.0906144949115765,0.0906144949115765,2899320172.44366,1635146147084.13,2140069671000,243569231130.509,40805956725.5762,1457355597.34201,28
"CAN","Canada","Fishing and aquaculture",2020,1.509e+09,"CAD","Canada","Fishing",2060285912000,1.341153,1125151269.09458,1536204975867.78,0.0732422617274102,0.0732422617274102,-36.5815020784864,-36.5815020784864,1449660086.22183,1.904e+09,0.0906144949115765,0.0906144949115765,2899320172.44366,1635146147084.13,2140069671000,243569231130.509,61177587088.7189,1747931059.67768,35
"CAN","Canada","Mining, quarrying, and oil and gas extraction",2019,1.08512e+11,"CAD","Canada","Mining",2169595182000,1.326793,81785176738.195,1635217537324.96,5.0014860329829,5.0014860329829,NA,2.14503351451127,81874066527.0087,106802500000,4.93674721414763,4.93674721414763,327496266108.035,1635146147084.13,2140069671000,2583524074697.47,731003554610.723,34809693076.7011,21
"CAN","Canada","Mining, quarrying, and oil and gas extraction",2020,9.9944e+10,"CAD","Canada","Mining",2060285912000,1.341153,74520953239.4887,1536204975867.78,4.85097720747799,4.85097720747799,-8.88207837706343,2.14503351451127,81874066527.0087,106802500000,4.93674721414763,4.93674721414763,327496266108.035,1635146147084.13,2140069671000,2583524074697.47,522585757885.558,27504513572.9241,19
"CAN","Canada","Mining, quarrying, and oil and gas extraction",2021,1.06757e+11,"CAD","Canada","Mining",2169212340000,1.253877,85141525045.9176,1730004091310.39,4.92146379731548,4.92146379731548,14.2517927438441,2.14503351451127,81874066527.0087,106802500000,4.93674721414763,4.93674721414763,327496266108.035,1635146147084.13,2140069671000,2583524074697.47,641603379258.885,33768598908.3624,19
"CAN","Canada","Mining, quarrying, and oil and gas extraction",2022,1.11997e+11,"CAD","Canada","Mining",2252073352000,1.301555,86048611084.4336,1730294418599.29,4.97306181881415,4.97306181881415,1.06538617675316,2.14503351451127,81874066527.0087,106802500000,4.93674721414763,4.93674721414763,327496266108.035,1635146147084.13,2140069671000,2583524074697.47,470868157708.832,29429259856.802,16
"CHL","Chile","Fishing and aquaculture",2018,1390152740000,"CLP","Chile","Fishing",189434867410000,641.276813,2167788873.41433,295402646048.891,0.733842063505261,0.733842063505261,NA,8.53487345629969,1759196131.09602,1336825970000,0.69272997308097,0.69272997308097,5277588393.28805,254954119528.344,193427653282500,243569231130.509,40805956725.5762,1457355597.34201,28
"CHL","Chile","Fishing and aquaculture",2020,939492923000,"CLP","Chile","Fishing",179114865010000,792.727206,1185140254.91892,225947669834.357,0.524519795131213,0.524519795131213,-45.3295351104793,8.53487345629969,1759196131.09602,1336825970000,0.69272997308097,0.69272997308097,5277588393.28805,254954119528.344,193427653282500,243569231130.509,61177587088.7189,1747931059.67768,35
"CHL","Chile","Fishing and aquaculture",2022,1680832247000,"CLP","Chile","Fishing",205022531890000,873.31419,1924659264.9548,234763770287.53,0.819828060606437,0.819828060606437,62.3992820230787,8.53487345629969,1759196131.09602,1336825970000,0.69272997308097,0.69272997308097,5277588393.28805,254954119528.344,193427653282500,243569231130.509,27763803959.5156,2135677227.65505,13
"CHL","Chile","Mining and quarrying",2021,33783590392000,"CLP","Chile","Mining",200138348820000,758.955379,44513276177.729,263702391942.597,16.8801184736386,16.8801184736386,NA,NA,44513276177.729,33783590392000,16.8801184736386,16.8801184736386,44513276177.729,254954119528.344,193427653282500,2583524074697.47,641603379258.885,33768598908.3624,19
"COL","Colombia","Fishing and aquaculture",2018,1.909e+12,"COP","COL","Fishing",8.54008e+14,2955.70397,645869823.018846,288935566169.03,0.223534205768564,0.223534205768564,NA,14.6989270583379,693337790.107524,2.3225e+12,0.279144429863476,0.279144429863476,1386675580.21505,266389750916.148,8.41777e+14,243569231130.509,40805956725.5762,1457355597.34201,28
"COL","Colombia","Fishing and aquaculture",2020,2.736e+12,"COP","COL","Fishing",8.17315e+14,3693.275833,740805757.196202,221298120410.385,0.334754653958388,0.334754653958388,14.6989270583379,14.6989270583379,693337790.107524,2.3225e+12,0.279144429863476,0.279144429863476,1386675580.21505,266389750916.148,8.41777e+14,243569231130.509,61177587088.7189,1747931059.67768,35
"COL","Colombia","Mining and quarrying",2018,5.7788e+13,"COP","COL","Mining",8.54008e+14,2955.70397,19551349047.9901,288935566169.03,6.76668134256354,6.76668134256354,NA,NA,19551349047.9901,5.7788e+13,6.76668134256354,6.76668134256354,19551349047.9901,266389750916.148,8.41777e+14,2583524074697.47,217463225233.476,19769384112.1342,11
"CRI","Costa Rica","Fishing and aquaculture",2019,17894457000,"CRC","CRI","Fishing",36094025075000,587.294596,30469303.0071743,61458125650.7935,0.0495773385285154,0.0495773385285154,NA,8.28186301792823,31731015.9759601,19187919500,0.0522483663563953,0.0522483663563953,63462031.9519202,60201841201.2886,35979718951157.4,243569231130.509,52005149321.203,2000198050.8155,26
"CRI","Costa Rica","Fishing and aquaculture",2021,20481382000,"CRC","CRI","Fishing",37293532283472.2,620.78472,32992728.9447459,60074823174.5656,0.0549193941842751,0.0549193941842751,8.28186301792823,8.28186301792823,31731015.9759601,19187919500,0.0522483663563953,0.0522483663563953,63462031.9519202,60201841201.2886,35979718951157.4,243569231130.509,61816734035.4948,2377566693.67288,26
"CRI","Costa Rica","Mining and quarrying",2020,119446983000,"CRC","CRI","Mining",34551599495000,584.900855,204217487.423574,59072574778.5067,0.345706088128526,0.345706088128526,NA,NA,204217487.423574,119446983000,0.345706088128526,0.345706088128526,204217487.423574,60201841201.2886,35979718951157.4,2583524074697.47,522585757885.558,27504513572.9241,19
"HRV","Croatia","Fishing and aquaculture",2019,113648000,"EUR","HRV","Fishing",52184328934.6017,0.878963,129297820.272298,59370336333.3857,0.217781855818105,0.217781855818105,NA,15.8195629064714,139524995.279634,120029000,0.225340950718213,0.225340950718213,279049990.559269,61409607596.6056,52309791124.0616,243569231130.509,52005149321.203,2000198050.8155,26
"HRV","Croatia","Fishing and aquaculture",2021,126410000,"EUR","HRV","Fishing",54276502893.9333,0.844128,149752170.286971,64298901225.8014,0.232900045618321,0.232900045618321,15.8195629064714,15.8195629064714,139524995.279634,120029000,0.225340950718213,0.225340950718213,279049990.559269,61409607596.6056,52309791124.0616,243569231130.509,61816734035.4948,2377566693.67288,26
"HRV","Croatia","Mining and quarrying",2018,164782000,"EUR","HRV","Mining",50468541543.6499,0.83337,197729699.893205,60559585230.6297,0.326504382650886,0.326504382650886,NA,NA,197729699.893205,164782000,0.326504382650886,0.326504382650886,197729699.893205,61409607596.6056,52309791124.0616,2583524074697.47,217463225233.476,19769384112.1342,11
"CYP","Cyprus","Fishing and aquaculture",2019,40500000,"EUR","Cyprus","Fishing",22495116000,0.893276,45338730.6946565,25182716204.1743,0.18003908048307,0.18003908048307,NA,NA,45338730.6946565,40500000,0.18003908048307,0.18003908048307,45338730.6946565,25182716204.1743,22495116000,243569231130.509,52005149321.203,2000198050.8155,26
"CYP","Cyprus","Mining and quarrying",2019,2.7e+07,"EUR","Cyprus","Mining",22495116000,0.893276,30225820.4631043,25182716204.1743,0.12002605365538,0.12002605365538,NA,NA,30225820.4631043,2.7e+07,0.12002605365538,0.12002605365538,30225820.4631043,25182716204.1743,22495116000,2583524074697.47,731003554610.723,34809693076.7011,21
"CZE","Czechia","Fishing and aquaculture",2019,6.85e+08,"CZK","CZE","Fishing",5.304483e+12,22.93225,29870597.0848914,231311057571.76,0.0129136053409918,0.0129136053409918,NA,-28.9618945915142,25545051.6641003,572500000,0.0108878239033717,0.0108878239033717,51090103.3282006,235894876137.125,5.21455e+12,243569231130.509,52005149321.203,2000198050.8155,26
"CZE","Czechia","Fishing and aquaculture",2021,4.6e+08,"CZK","CZE","Fishing",5.190677e+12,21.678167,21219506.2433092,239442615235.873,0.00886204246575158,0.00886204246575158,-28.9618945915142,-28.9618945915142,25545051.6641003,572500000,0.0108878239033717,0.0108878239033717,51090103.3282006,235894876137.125,5.21455e+12,243569231130.509,61816734035.4948,2377566693.67288,26
"CZE","Czechia","Mining and quarrying",2018,3.3162e+10,"CZK","CZE","Mining",5.14849e+12,21.729917,1526098788.13619,236930955603.742,0.644111185998225,0.644111185998225,NA,NA,1526098788.13619,3.3162e+10,0.644111185998225,0.644111185998225,1526098788.13619,235894876137.125,5.21455e+12,2583524074697.47,217463225233.476,19769384112.1342,11
"DNK","Denmark","Fishing and aquaculture",2018,2.407e+09,"DKK","DNK","Fishing",2204790662000,6.314619,381178975.326936,349156562256.567,0.109171362228855,0.109171362228855,NA,-22.8064230811327,337712330.422242,2.166e+09,0.0986669893342946,0.0986669893342946,675424660.844484,341454955959.44,2194127903000,243569231130.509,40805956725.5762,1457355597.34201,28
"DNK","Denmark","Fishing and aquaculture",2020,1.925e+09,"DKK","DNK","Fishing",2183465144000,6.542152,294245685.517548,333753349662.313,0.0881626164397337,0.0881626164397337,-22.8064230811327,-22.8064230811327,337712330.422242,2.166e+09,0.0986669893342946,0.0986669893342946,675424660.844484,341454955959.44,2194127903000,243569231130.509,61177587088.7189,1747931059.67768,35
"EST","Estonia","Fishing and aquaculture",2018,38500000,"EUR","EST","Fishing",23367100000,0.846773,45466730.7531062,27595471277.4262,0.164761566475943,0.164761566475943,NA,-5.16708889338145,40623184.836592,36116666.6666667,0.148246275843302,0.148246275843302,121869554.509776,27399469099.0366,24392830333.3333,243569231130.509,40805956725.5762,1457355597.34201,28
"EST","Estonia","Fishing and aquaculture",2020,31940000,"EUR","EST","Fishing",24107393000,0.875506,36481760.2620656,27535382967.107,0.132490477091405,0.132490477091405,-19.7616374483375,-5.16708889338145,40623184.836592,36116666.6666667,0.148246275843302,0.148246275843302,121869554.509776,27399469099.0366,24392830333.3333,243569231130.509,61177587088.7189,1747931059.67768,35
"EST","Estonia","Fishing and aquaculture",2022,37910000,"EUR","EST","Fishing",25703998000,0.949624,39921063.4946042,27067553052.5766,0.147486783962557,0.147486783962557,9.42745966157459,-5.16708889338145,40623184.836592,36116666.6666667,0.148246275843302,0.148246275843302,121869554.509776,27399469099.0366,24392830333.3333,243569231130.509,27763803959.5156,2135677227.65505,13
"FJI","Fiji","Fishing and aquaculture",2019,66200000,"FJD","Fiji","Fishing",10671183004.3283,2.1603985319813,30642494.4379535,4939451145.8688,0.620362334458596,0.620362334458596,NA,-4.26883874891727,27194056.6197851,58750000,0.619256870594324,0.619256870594324,108776226.47914,4403235620.18538,9512743769.81626,243569231130.509,52005149321.203,2000198050.8155,26
"FJI","Fiji","Fishing and aquaculture",2020,61100000,"FJD","Fiji","Fishing",8852827195.96947,2.1603985319813,28281818.8845765,4097775047.01901,0.690174998872877,0.690174998872877,-7.70392749244713,-4.26883874891727,27194056.6197851,58750000,0.619256870594324,0.619256870594324,108776226.47914,4403235620.18538,9512743769.81626,243569231130.509,61177587088.7189,1747931059.67768,35
"FJI","Fiji","Fishing and aquaculture",2021,50900000,"FJD","Fiji","Fishing",8420717508.57796,2.1603985319813,23560467.7778223,3897761169.4891,0.604461555065225,0.604461555065225,-16.6939443535188,-4.26883874891727,27194056.6197851,58750000,0.619256870594324,0.619256870594324,108776226.47914,4403235620.18538,9512743769.81626,243569231130.509,61816734035.4948,2377566693.67288,26
"FJI","Fiji","Fishing and aquaculture",2022,56800000,"FJD","Fiji","Fishing",10106247370.3893,2.1603985319813,26291445.3787879,4677955118.3646,0.562028593980597,0.562028593980597,11.5913555992141,-4.26883874891727,27194056.6197851,58750000,0.619256870594324,0.619256870594324,108776226.47914,4403235620.18538,9512743769.81626,243569231130.509,27763803959.5156,2135677227.65505,13
"FJI","Fiji","Mining and quarrying",2019,60700000,"FJD","Fiji","Mining",10671183004.3283,2.1603985319813,28096667.8607822,4939451145.8688,0.568821657124423,0.568821657124423,NA,-8.86542317343355,25215255.0529837,54475000,0.577857696969458,0.577857696969458,100861020.211935,4403235620.18538,9512743769.81626,2583524074697.47,731003554610.723,34809693076.7011,21
"FJI","Fiji","Mining and quarrying",2020,57800000,"FJD","Fiji","Mining",8852827195.96947,2.1603985319813,26754322.9382736,4097775047.01901,0.652898771437844,0.652898771437844,-4.77759472817133,-8.86542317343355,25215255.0529837,54475000,0.577857696969458,0.577857696969458,100861020.211935,4403235620.18538,9512743769.81626,2583524074697.47,522585757885.558,27504513572.9241,19
"FJI","Fiji","Mining and quarrying",2021,53600000,"FJD","Fiji","Mining",8420717508.57796,2.1603985319813,24810237.1884337,3897761169.4891,0.636525331070649,0.636525331070649,-7.26643598615917,-8.86542317343355,25215255.0529837,54475000,0.577857696969458,0.577857696969458,100861020.211935,4403235620.18538,9512743769.81626,2583524074697.47,641603379258.885,33768598908.3624,19
"FJI","Fiji","Mining and quarrying",2022,45800000,"FJD","Fiji","Mining",10106247370.3893,2.1603985319813,21199792.2244452,4677955118.3646,0.453185028244918,0.453185028244918,-14.5522388059701,-8.86542317343355,25215255.0529837,54475000,0.577857696969458,0.577857696969458,100861020.211935,4403235620.18538,9512743769.81626,2583524074697.47,470868157708.832,29429259856.802,16
"FIN","Finland","Fishing and aquaculture",2019,1.15e+08,"EUR","FIN","Fishing",2.296e+11,0.893276,128739605.676185,257031421419.584,0.0500871080139373,0.0500871080139373,NA,24.0255221002263,144204786.882923,1.25e+08,0.054320606003013,0.054320606003013,288409573.765846,258824615361.841,231493333333.333,243569231130.509,52005149321.203,2000198050.8155,26
"FIN","Finland","Fishing and aquaculture",2021,1.35e+08,"EUR","FIN","Fishing",2.30556e+11,0.845494,159669968.089661,272687919725.036,0.0585541039920887,0.0585541039920887,24.0255221002263,24.0255221002263,144204786.882923,1.25e+08,0.054320606003013,0.054320606003013,288409573.765846,258824615361.841,231493333333.333,243569231130.509,61816734035.4948,2377566693.67288,26
"FIN","Finland","Mining and quarrying",2022,1.148e+09,"EUR","FIN","Mining",2.34324e+11,0.949624,1208899522.33726,246754504940.903,0.489919939912258,0.489919939912258,NA,NA,1208899522.33726,1.148e+09,0.489919939912258,0.489919939912258,1208899522.33726,258824615361.841,231493333333.333,2583524074697.47,470868157708.832,29429259856.802,16
"FRA","France","Fishing and aquaculture",2019,8.45e+08,"EUR","France","Fishing",2358523734000,0.893276,945956233.011969,2640307960809.43,0.0358274961501829,0.0358274961501829,NA,-2.22559541991368,935429653.713818,813500000,0.0347598511740748,0.0347598511740748,1870859307.42764,2666099148792.9,2309265698666.67,243569231130.509,52005149321.203,2000198050.8155,26
"FRA","France","Fishing and aquaculture",2021,7.82e+08,"EUR","France","Fishing",2321011558000,0.845494,924903074.415667,2745154380752.55,0.0336922061979667,0.0336922061979667,-2.22559541991368,-2.22559541991368,935429653.713818,813500000,0.0347598511740748,0.0347598511740748,1870859307.42764,2666099148792.9,2309265698666.67,243569231130.509,61816734035.4948,2377566693.67288,26
"FRA","France","Mining and quarrying",2018,2e+09,"EUR","France","Mining",2315843393000,0.846773,2361908091.07045,2734904623789.37,0.0863616255764666,0.0863616255764666,NA,-2.94662225768713,2167881232.13416,1.875e+09,0.0816675381347401,0.0816675381347401,8671524928.53662,2666099148792.9,2309265698666.67,2583524074697.47,217463225233.476,19769384112.1342,11
"FRA","France","Mining and quarrying",2019,2e+09,"EUR","France","Mining",2358523734000,0.893276,2238949663.93366,2640307960809.43,0.0847988074560542,0.0847988074560542,-5.20589381109533,-2.94662225768713,2167881232.13416,1.875e+09,0.0816675381347401,0.0816675381347401,8671524928.53662,2666099148792.9,2309265698666.67,2583524074697.47,731003554610.723,34809693076.7011,21
